movie_id,avg_sentiment_score,num_reviews,normalized_sentiment
tt0432291,0.44450882,67,0.32764158
tt0434409,0.90542185,58,0.88702786
tt0434706,0.9128583,54,0.8960531
tt0435761,0.9083774,102,0.89061487
tt0446029,0.8741033,50,0.84901816
tt0450345,0.45408198,59,0.33926
tt0452046,0.8055513,54,0.76582015
tt0454876,0.8956385,53,0.8751543
tt0454921,0.8543487,65,0.825043
tt0457430,0.9184905,51,0.90288866
tt0459159,0.8398691,51,0.80746984
tt0460681,0.8753553,55,0.85053766
tt0462244,0.46120486,52,0.34790468
tt0466342,0.29321808,54,0.14402781
tt0468569,0.9218977,138,0.9070237
tt0469494,0.88876593,106,0.8668134
tt0472954,0.9493993,64,0.940401
tt0476735,0.90245146,51,0.88342285
tt0477347,0.80490667,32,0.7650378
tt0477348,0.87439835,63,0.84937626
tt0478304,0.7580111,51,0.708123
tt0478942,0.88996756,56,0.86827177
tt0481256,0.91882575,43,0.90329546
tt0482571,0.9111616,126,0.8939939
tt0487831,0.8631261,55,0.8356957
tt0499487,0.32457265,50,0.18208124
tt0758745,0.89001083,55,0.8683243
tt0758752,0.7542871,52,0.70360345
tt0770828,0.843947,66,0.812419
tt0773262,0.93759865,51,0.92607915
tt0785077,0.4167207,53,0.29391655
tt0795176,0.9181344,52,0.9024564
tt0795461,0.3297031,57,0.18830779
tt0799949,0.25373378,54,0.09610777
tt0804452,0.3769294,53,0.24562392
tt0804492,0.46206945,51,0.348954
tt0804503,0.9027278,55,0.8837582
tt0808240,0.38904214,21,0.2603245
tt0810913,0.31323665,64,0.16832332
tt0816692,0.8953527,100,0.8748075
tt0816711,0.78578764,50,0.741834
tt0863046,0.91226083,54,0.895328
tt0874936,0.9011804,72,0.8818802
tt0877057,0.9412859,67,0.9305542
tt0892769,0.9041476,51,0.8854814
tt0897361,0.36490598,54,0.23103172
tt0898266,0.8965725,52,0.8762878
tt0903747,0.9703236,58,0.96579576
tt0910970,0.9050214,130,0.8865419
tt0944947,0.93551135,52,0.9235459
tt0978762,0.8845753,56,0.8617275
tt0979432,0.9242883,57,0.90992504
tt0986264,0.8958813,100,0.875449
tt0988818,0.97862816,56,0.97587454
tt0988824,0.9255882,68,0.9115027
tt0993846,0.8504629,138,0.82032704
tt0994314,0.9351144,65,0.9230641
tt10048342,0.9424837,57,0.9320079
tt1010048,0.90048707,61,0.8810388
tt10233448,0.9412159,50,0.9304692
tt10272386,0.90969574,114,0.89221483
tt1028532,0.8861083,62,0.863588
tt10332508,0.93670696,54,0.924997
tt10350922,0.17454463,52,0.0
tt10370710,0.8296279,54,0.7950406
tt10481868,0.328431,55,0.18676393
